Team,Owner,EV,Var,StdDev,Group Stage,Last 32,Last 16,Quarter-Finals,Semi-Finals,Runner-Up,Outright Winner
France,Danny,3.6552505377245303,5.48969264868418,2.3430093146814803,0.017946431656206973,0.16348678536739028,0.22114052069464427,0.16348678536739028,0.16348678536739028,0.09980600510718367,0.17064668643979417
Spain,Ricky,3.3922950988131877,5.365174397553501,2.3162846106542045,0.01904254545208831,0.2346471152202444,0.20323858944156908,0.14324822111725802,0.14324822111725802,0.11332708653432405,0.14324822111725802
England,Max,3.376377947067243,4.662921756940926,2.1593799473323183,0.007407401583171129,0.20882936965852852,0.2037330346474731,0.2037330346474731,0.13202139215131264,0.12213788365602078,0.12213788365602078
Argentina,Gabe,3.0474220960781966,4.12679520874492,2.031451502927136,0.007273296579253641,0.29193853339596604,0.1707458806437557,0.1907197197658587,0.15448556851299813,0.09780901096681345,0.08702799013535426
Portugal,Bella,2.816806926344654,3.9995428415759875,1.9998857071282818,0.06164974967884021,0.24451211985785223,0.21252442339877345,0.18780134487592715,0.13883949474747495,0.08120295571478428,0.07346991172634788
Brazil,Jack,2.7269146958341746,3.6623026996932344,1.9137143725470722,0.02108215715266592,0.3079759044157066,0.2266208379523598,0.18713694385547894,0.10945065013478736,0.08091567701251537,0.06681782947648605
Germany,Carol,2.6400457365367362,3.1697135488799884,1.7803689361702502,0.0028777267964253655,0.30042055971345455,0.31130713211513444,0.14509356629158082,0.11478698314333668,0.07007557338715165,0.05543845855291638
Netherlands,Jack,2.2449587482774853,3.371496246357908,1.836163458507414,0.09577367365260128,0.36941520158695207,0.17841578183496615,0.16719277793177584,0.09019477579561268,0.05275215383027195,0.046255635367819944
USA,Danya,2.1853665914583082,1.939230854158958,1.3925626930802641,0.0276068782562811,0.3473866963143117,0.29892200073241915,0.19528192989245366,0.07639639726982862,0.035214454890873464,0.01919164264383229
Norway,Carol,2.1626674294599137,2.2789514332841745,1.5096196319881954,0.030438882490346535,0.39752008389265764,0.2658955582351004,0.15551414443990824,0.08301388124408492,0.042311599031082676,0.025305850666819497
Switzerland,Danny,2.1095092822753583,1.4491557317199462,1.2038088435129335,0.0,0.36120863839896694,0.36120863839896694,0.17445227307552005,0.06396679881411962,0.02754718586917394,0.011616465443252389
Colombia,Gabe,2.080625359994331,2.0331847991078034,1.425897892244674,0.03010763358646994,0.42273516693666896,0.25488587828452736,0.1538217731808989,0.08211048877633037,0.03767631141144317,0.01866274782366139
Belgium,Danya,2.0627685676764753,2.152307313540967,1.4670744062728949,0.08122104075036132,0.3482022243032645,0.2643571256360475,0.16817058913348049,0.08571538192889624,0.03387305149357817,0.0184605867543718
Canada,Danya,1.8915523777777854,1.091711576781924,1.0448500259759408,0.0,0.44291505047580215,0.34018780825057565,0.14709295903248862,0.049280979375326675,0.015548983856076061,0.0049742190097309
Morocco,Max,1.81059679605782,2.13051488611831,1.4596283383513455,0.08495504720505738,0.4788784864646964,0.21068614666414726,0.1170701107157866,0.06111649661212094,0.02631970839652539,0.02097400394166603
Austria,Danya,1.6001010884401436,1.274005870166209,1.1287186851320434,0.061801673737103144,0.5687823639121052,0.20240861910194152,0.09092558878493268,0.053179583899183376,0.01850195870668142,0.004400211858052626
Ivory Coast,Gabe,1.5880669485019863,1.0593329204892707,1.0292390006647003,0.04119520318862061,0.564733167631453,0.2508909912624799,0.09027828398210484,0.03708580161737692,0.011143376339436824,0.004673175978527901
Japan,Ro,1.5832958429349342,1.9725464337983167,1.4044737212914724,0.1678646459971567,0.46364594141577664,0.1678646459971567,0.10966383187158661,0.05296413958693592,0.024714280128497336,0.013282515002889976
Uruguay,Bella,1.537434483286074,1.5895025936283367,1.2607547714081184,0.1498788460966295,0.4759348650328704,0.1940793309817258,0.10821982772623574,0.0458299936808648,0.018184363962006997,0.007872772519666785
Australia,Ro,1.4272788481879968,1.0981153087624984,1.0479099716876914,0.13945561919545216,0.4852004410950402,0.253187329655196,0.08156330797877724,0.029906997599474922,0.007193783920003377,0.0034925205560559607
